,date,user_id,sex,age_skin_type,rate,content,product_url,dist
75,2015.11.7,잘살고있다,f,26세 · 건성 ·,good,친구가 촉촉하고 산뜻하다고 매번 자기 남친 사주는 제품 나는 남친이 없어서 옆에서 조용히 계산하는 거 구경함,/product/7212,0.005130867294606323
76,2015.10.4,꿈꾸는꼬부기,f,27세 · 건성 ·,good,남친이 만족하면서 써요! 촉촉하면서 끈적이지도 않고 번들거리지도 않아서 좋대요~ 그리고 쓰고나서 남친 피부결도 확실히 예전보다 좋아진듯ㅋㅋㅋ 예전엔 아무것도 안발라서 그랬던 탓도 있겠지만ㅋㅋ,/product/7212,0.0030263189741770447
77,2015.8.17,은뚱,f,28세 · 복합성 ·,best,남자친구 선물해줬는데 잘쓴당. 그때 사면서 화장솜 샘플로 받았는데 남자친구가 써보고 좋아서 나도 잘 안쓰는 화장솜을 사서쓴다..굿!,/product/7212,0.0013006365593867253
78,2015.8.7,핫칠리쏘스,f,27세 · 복합성 ·,good,어버이날에 아빠 생신선물로 이거 세트 사다 드렸었는데 원래 성격이 뭘 잘 안바르시는 성격이라 ...T.T 딸래미의 성의를 봐서 몇 번 사용하시다가 귀찮으셔서 결국 안바르시고 화장대에 덩그러니... 아까워서 거즘 내 피부에 사용하면서 가끔씩 아빠 피부에도 직접 발라주고 이랬었는데 아빠나 나나 무난무난하니 큰 트러블 없이 잘 사용했다. 용량도 많아서 넉넉히 썼는데 향은 개인적으로 계속 맡다보면 남성스킨향..? 엄청 좋아하는 향은 아니라 그냥 그랬다. 향 빼고는 용량도 많고 산뜻한 타입.,/product/7212,0.0022234310325892626
79,2015.7.27,최사장,m,31세 · 건성 ·,best,어느 피부에도 다 사용이가능한 스킨인것같아요 피부가 예민한 저로선 정말 좋게 사용하고잇어요,/product/7212,0.022247776539109143
80,2015.5.16,으네으넹,f,27세 · 건성 ·,best,남자친구 선물로 줬는데 되게 만족스럽다고 한다~,/product/7212,0.005681447469822687
81,2015.5.10,078,m,33세 · 복합성 ·,best,솜과 함께 사용하는데 정말 만족하고 있습니다,/product/7212,0.003974278003295195
82,17일 전,샤론ej,f,40세 · 중성 ·,good,남편은 토너 하나만 발라도충분하다네요 촉촉한가봐요,/product/4108,0.003141816962209276
83,2개월 전,데이빗94,m,27세 · 건성 ·,good,남자가 사용하기에 무난한 제품.. 그냥 일반 토너 특별한 기능 없음,/product/4108,0.005286860704604157
84,3개월 전,쌤림,m,37세 · 복합성 ·,good,"지성 피부가 바르기에 좋은거 같고, 건성 피부엔 좀 약할듯 합니다. 바른 순간에는 알콜향이 나는 편이라 사람마다 호불호가 갈릴듯합니다. 그래도 알콜향은 금방 날아가고 남은 잔향은 좋은 편입니다.",/product/4108,0.013621997352814441
85,3개월 전,졔사생,f,20세 · 민감성 ·,best,내가 써본 토너 중에 최고❤️❤️❤️ 그냥 말해뭐해 에요 정말 질이 좀 떨어지는 토너들은 그냥 종말 물바르는건가 싶기도 하고 시간이 지날수록 얼굴이 마르는 느낌인데 이 토너는 그냥 바를때부터 깊게 흡수되는 느낌이에요!! 향도 정말 예민한 사람인데도 향이 참 좋더라고요.. 정말 인생 토너! 강추한다 이 말이에요!!!,/product/4108,0.002815352955683026
86,5개월 전,lyew3932,m,31세 · 건성 ·,good,이거 쓴지 이년되어가는데 넘 좋아요 촉촉하고 바르고난 뒤에 항이 정말좋어요!!,/product/4108,0.0020941564001406565
87,2019.7.2,mamako,f,31세 · 복합성 ·,good,선물로 참 좋아함. 일단 향이 시원하고 가볍다. 마치 정말 가벼운 코롱같은? 향은 금방날아간다. 나오는 제형을 봤을때 에센스인줄알았는데 토너였다. 점도가 있는편이다. 수분감이 많고 제일좋은것은 바르고 끈적이지않는다. 가격이 조금 비싸 별하나 뺌.,/product/4108,0.0047807158011569095
88,2019.5.22,gojjkim,m,29세 · 건성 ·,best,아주 좋아요 촉촉해서 좋습니다. 만족 짱짱입니단,/product/4108,0.006621740780108798
89,2019.3.24,서준하트민,f,22세 · 복합성 ·,best,우리아빠는 향이 진한걸 싫어해서 엄마가 남자용 스킨사주면 그거 안쓰고 엄마꺼 몰래몰래 사용했는뎈ㅋㅋㅋㅋ 이거 선물로 사주니까 향도 맘에들고 가볍다고 맨날 바를때마다 나한테 와서 톡톡톡 cf 찍으심ㅋㅋㅋ 아빠한테 이쁨받을수 있는 좋은 제품임!!!!,/product/4108,0.00409725030769903
90,2019.2.4,꿀바나나,f,23세 · 복합성 ·,good,#아빠템 #사요 #남성화장품 평소에 비오템을 좋아해서 아빠도 사드렸는데 잘 쓰시더라구요!! 토너라서 가벼운 사용감과 진하지 않은 향이 나서 좋았어욤! 만족,/product/4108,0.001663446913647726
91,2019.2.2,욤뇸뇨,f,32세 · 민감성 ·,good,남편이 연애시절 부터 재겨두고 늘 쓰는 제품이에요.,/product/4108,0.005266258343111452
92,2019.2.1,Crysral,f,17세 · 지성 ·,best,아빠 생신 선물로 보습을 위해 사드렸는데 정말 좋아하셨어요!,/product/4108,0.0016975533782579433
93,2019.2.1,또치또치84,f,37세 · 복합성 ·,good,남편이 무난하게 잘 맞는다고해서 꾸준히 사는 제품이예요 대신 가격때문에 면세점에서만 구입하는편이예요,/product/4108,0.0054401488240080065
94,2019.1.31,서윤서윤dddd,f,25세 · 복합성 ·,soso,제품은 무난한데 향이세고 가격이너무쎄여ㅠ 피부에 잘맞는다면 쓰겠지만 그냥 무난한제품같아요,/product/4108,0.01905559594436934
95,2019.1.25,flalain,m,21세 · 민감성 ·,bad,이거 바르고 피부 뒤집어져서 고생함..... 유명한데 저랑은 안맞는듯,/product/4108,0.0017607969558555148
96,2019.1.25,제이안,m,29세 · 중성 ·,best,"항상 헬스하고 나서 가볍게 바르는 제품입니다. 제가 지성이다 보니 특히 여름에 답답한 것을 견디지 못하는데, 여름에는 이거 하나만 발라도 촉촉하고 향기도 좋아서 여자친구도 좋아합니다 ^^",/product/4108,0.003697736222578518
97,2019.1.17,공부맨,m,23세 · 복합성 ·,soso,이거 파란색도 잇음. 이름은 아쿠아파워 똑같은데 통이 파란색임. 근데 말야 이거 여름에 냉장고에 넣어두고 쓰면 스킨브레이서 만큼 얼굴 소독되고 시원한데 너무 얼굴에서 금방 마르니까 양을 듬뿍 써야함. 생각해보면 200ml고 성분이 젤이라서 물타입 액체보다 많은 양이 필요한데 엄청 비쌈. 54000원은 아니고 더 싸게는 살수 있지만 무슨 부자집 도련님 스킨 같음. 너무 비쌈. 이거 좋긴한데 월급이 300만원 이하이면 안쓰는게 나음. 가격 성분이나 원가에 비해 너무 비쌈. 취향을 존중하므로 월급이 적더라도 사용하실 분은 사용해도 됨. ㅈㄴ비싸서 탈락~ 그리고 성분을 보면 가격에 비해 좋은 성분이 아니라 알러지 유발 성분 등 안좋은게 있어서 가격대비 완전 탈락~ 이니스프리가 요즘 유해성분이 거의 아주 없는것들 만드는데 다른 화장품에 비해 가격대비 제일 좋음. 이니스프리 광고하는 사람 아님 진실을 말하는 자임~~,/product/4108,0.0046871070870724285
98,2019.1.5,캐복치,m,29세 · 복합성 ·,soso,쿨링감이나 보습감은 괜찮은데 너무 비싸요..,/product/4108,0.003942877491964647
99,2018.12.19,cnl123,f,27세 · 건성 ·,soso,아빠께 사드렸는데 크게 좋은걸 못느끼셨데요..,/product/4108,0.011179493108711469
100,2018.12.8,뷰나기엘,m,41세 · 지성 ·,best,이제품은 진짜 오래쓰던제품인데 가격이 좀 있지만 그래도 제품력만큼은 인정 하는 제품입니다. 최고!! ㅎ 지금 다른걸 사용하고 있는데 기회가 되면 다시 꼭 써보고 싶은 제품이예요 ^^,/product/4108,0.004058345463628488
101,2018.11.9,힝구님,m,30세 · 중성 ·,best,누나가 사줘서 써봤는데 전 비오템 화장품 향기가 좋더라구요.. ㅋㅋㅋ,/product/4108,0.0007750941996083061
102,2018.10.18,juunk,m,33세 · 민감성 ·,good,토너향이 너무 좋음 헬스하고 나서!!보습력도 괜춘!,/product/4108,0.0012270015536985923
103,2018.8.23,dajj610,f,26세 · 복합성 ·,good,남친 선물로 샀는데 엄청 좋아해요~ 촉촉하고 향도 괜찮아요,/product/4108,0.0013515706750415468
104,2018.7.22,화장품찾으러왔다,m,27세 · 복합성 ·,good,여름에 이거 하나만 발라도 보습이 충분해지는 느낌 향이 강해서 향수 뿌린것 처럼 얼굴에서 냄새 나고 개인적으론 아저씨 냄새 될랑 말랑하는 냄새?ㅋㅋㅋ 그냥 흔히들 알고 있는 남자 스킨 냄새 발림감이 산뜻하고 좋네요,/product/4108,0.0031005604028553346
105,2018.2.16,덕배몬,m,28세 · 복합성 ·,good,수분감이 부족햇던 때에 썻었습니다 세정 후 이것만 발라도 꽉 채워주는 느낌이라 면도 후에도 잘 썻엇네여 자체 애프터쉐이브 효과!! 대박 ㅎㅎㅎㅎㅎㅎㅎ,/product/4108,0.004236520471705196
106,2018.2.12,유니~,f,46세 · 건성 ·,best,신랑이 끈적이는걸 싫어해서 요것만 써요 향은 좋아요,/product/4108,0.003555461717341779
107,2018.2.8,새우청년,m,38세 · 건성 ·,good,전 좀 끈적였는데 자극은 덜 하긴 했어요,/product/4108,0.003230148049714998
108,2018.1.13,junghmelly,m,19세 · 민감성 ·,soso,정석 남자스킨냄새 건성은 사용 어려울듯... 머 비오템 전부 다 그렇지만요 저자극이긴 해여,/product/4108,0.0021640599446197673
109,2017.12.22,윈터러,m,28세 · 건성 ·,good,시원하고 순하고 자극없어서 아주 잘 씁니다 ^^,/product/4108,0.004194039803258498
